video_id,title,channel_title,category,publish_time,trending_date,views,likes,dislikes,comment_count,tags,region
f8d0aece-46,Court opportunity resource tough sure fight.,York LLC,News & Politics,01/01/23 0:00,01/02/23 0:00,3721125,982268,88602,377146,"policy,if,data,second",BR
5fb491d0-3e,Choose sit option fear by ground vote.,"Mendoza, Hernandez and Swanson",Science & Technology,01/01/23 1:00,01/02/23 1:00,953125,751229,73664,149107,"true,prepare,your,tax,its,walk,position",KR
871e4af3-de,Yourself visit authority individual relate will.,"Nichols, Lopez and Davis",Film & Animation,01/01/23 2:00,01/02/23 2:00,107391,61080,62262,308372,"record,cup,husband",DE
5b7c2d9e-c2,Especially wait need after trip.,"Cole, Barr and Hubbard",People & Blogs,01/01/23 3:00,01/02/23 3:00,2593262,200761,59660,438438,"sign,ahead,recently",IN
d8f42e78-fb,Pretty couple operation message center campaign possible.,Williams Inc,Comedy,01/01/23 4:00,01/02/23 4:00,4574729,470296,70958,466473,"see,knowledge,else,receive,success,win,his",JP
eb46ad04-38,Enter common citizen administration child return mouth.,"Walls, Taylor and Nunez",Sports,01/01/23 5:00,01/02/23 5:00,4296970,334497,2217,56945,"range,data,six,hard",JP
f443f172-89,At above make nation.,Whitehead-Collins,Education,01/01/23 6:00,01/02/23 6:00,4317308,488489,65942,38202,"dream,plan,blood,real,less,home,hot",BR
a3b90b64-f1,Bit place popular party.,Thomas and Sons,Gaming,01/01/23 7:00,01/02/23 7:00,521742,468333,80334,55412,"music,try,over",IN
ebe722e7-eb,Hair toward possible house before.,Escobar Group,Science & Technology,01/01/23 8:00,01/02/23 8:00,1010344,882606,95840,168799,"someone,yard,six,full,return",CA
93e8b35b-2a,At tend throw course.,Lopez-Mosley,Science & Technology,01/01/23 9:00,01/02/23 9:00,636333,924805,72315,25110,"check,police,benefit",AU
d780a105-82,If fine more.,Sanders-Rogers,Education,01/01/23 10:00,01/02/23 10:00,4494497,700268,66394,294803,"long,shake,wrong,may,anyone,as,decade",AU
bba465f3-f0,Walk son might.,Peterson and Sons,News & Politics,01/01/23 11:00,01/02/23 11:00,1643988,492093,68754,43679,"recognize,mention,bag,statement,role,Mrs,over,example",KR
2e678d32-0a,Democrat fly training agency six kind grow.,Norman-Wood,Sports,01/01/23 12:00,01/02/23 12:00,4870218,900188,1667,177294,"bank,leader,real,month,option,kitchen,begin",AU
